Time,High,Low,Open,Close,Volume
2017-03-05 17:40:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00499035
2017-03-05 17:45:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00068195
2017-03-05 17:50:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.01889855
2017-03-05 17:55:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.29191286
2017-03-05 18:00:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00194141
2017-03-05 18:05:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00062347
2017-03-05 18:10:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00030596
2017-03-05 18:15:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.02023204
2017-03-05 18:20:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00690082
2017-03-05 18:25:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.02180274
2017-03-05 18:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-05 18:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00781004
2017-03-05 18:40:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00708679
2017-03-05 18:45:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-05 18:50:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.12394221
2017-03-05 18:55:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.01747011
2017-03-05 19:00:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.05383888
2017-03-05 19:05:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.02136854
2017-03-05 19:10:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00026515
2017-03-05 19:15:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00254176
2017-03-05 19:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.01009145
2017-03-05 19:25:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.05604609
