,period,v_t,v_hi,v_lo,bid,ask
6859,2017-09-05 18:20:00+00:00,482362.0,482362.0,482362.0,482362.0,482577.0
6860,2017-09-05 18:21:00+00:00,482789.0,482789.0,482789.0,482380.0,482789.0
6861,2017-09-05 18:22:00+00:00,482789.0,482789.0,482789.0,482380.0,482760.0
6862,2017-09-05 18:23:00+00:00,483303.0,483303.0,483303.0,483448.0,483699.0
6863,2017-09-05 18:24:00+00:00,483797.0,483797.0,483797.0,483800.0,483900.0
6864,2017-09-05 18:25:00+00:00,484000.0,484000.0,484000.0,483900.0,484210.0
6865,2017-09-05 18:26:00+00:00,483954.0,483954.0,483954.0,483900.0,483979.0
6866,2017-09-05 18:27:00+00:00,483900.0,483900.0,483900.0,483584.0,483999.0
6867,2017-09-05 18:28:00+00:00,483340.0,483340.0,483340.0,483451.0,483995.0
6868,2017-09-05 18:29:00+00:00,483996.0,483996.0,483996.0,483451.0,483994.0
6869,2017-09-05 18:30:00+00:00,484000.0,484000.0,484000.0,483482.0,484147.0
6870,2017-09-05 18:31:00+00:00,484587.0,484587.0,484587.0,484401.0,484587.0
6871,2017-09-05 18:32:00+00:00,484999.0,484999.0,484999.0,484585.0,484993.0
6872,2017-09-05 18:33:00+00:00,484993.0,484993.0,484993.0,484585.0,484992.0
6873,2017-09-05 18:34:00+00:00,484122.0,484122.0,484122.0,484100.0,484322.0
6874,2017-09-05 18:35:00+00:00,483673.0,483673.0,483673.0,483673.0,483914.0
6875,2017-09-05 18:36:00+00:00,484390.0,484390.0,484390.0,484000.0,484390.0
6876,2017-09-05 18:37:00+00:00,484669.0,484669.0,484669.0,484007.0,484731.0
6877,2017-09-05 18:38:00+00:00,485000.0,485000.0,485000.0,485001.0,485059.0
6878,2017-09-05 18:39:00+00:00,485000.0,485000.0,485000.0,485000.0,485059.0
6879,2017-09-05 18:40:00+00:00,485366.0,485366.0,485366.0,485334.0,485600.0
6880,2017-09-05 18:41:00+00:00,485640.0,485640.0,485640.0,485641.0,485800.0
6881,2017-09-05 18:42:00+00:00,486213.0,486213.0,486213.0,486214.0,486238.0
6882,2017-09-05 18:43:00+00:00,486399.0,486399.0,486399.0,486029.0,486399.0
6883,2017-09-05 18:44:00+00:00,486813.0,486813.0,486813.0,486577.0,486900.0
6884,2017-09-05 18:45:00+00:00,488888.0,488888.0,488888.0,487615.0,488888.0
6885,2017-09-05 18:46:00+00:00,487390.0,487390.0,487390.0,487390.0,487963.0
6886,2017-09-05 18:47:00+00:00,486899.0,486899.0,486899.0,486899.0,487097.0
6887,2017-09-05 18:48:00+00:00,487473.0,487473.0,487473.0,487278.0,487473.0
6888,2017-09-05 18:49:00+00:00,487273.0,487273.0,487273.0,486660.0,487273.0
6889,2017-09-05 18:50:00+00:00,487273.0,487273.0,487273.0,487100.0,487477.0
6890,2017-09-05 18:51:00+00:00,487477.0,487477.0,487477.0,486801.0,487477.0
6891,2017-09-05 18:52:00+00:00,487939.0,487939.0,487939.0,487273.0,487938.0
6892,2017-09-05 18:53:00+00:00,487160.0,487160.0,487160.0,487100.0,487741.0
6893,2017-09-05 18:54:00+00:00,486081.0,486081.0,486081.0,486081.0,486975.0
6894,2017-09-05 18:55:00+00:00,485156.0,485156.0,485156.0,485371.0,485856.0
6895,2017-09-05 18:56:00+00:00,485856.0,485856.0,485856.0,485857.0,485858.0
6896,2017-09-05 18:57:00+00:00,486330.0,486330.0,486330.0,486000.0,486330.0
6897,2017-09-05 18:58:00+00:00,486460.0,486460.0,486460.0,486000.0,486459.0
6898,2017-09-05 18:59:00+00:00,486000.0,486000.0,486000.0,486003.0,486454.0
6899,2017-09-05 19:00:00+00:00,487030.0,487030.0,487030.0,487030.0,487131.0
6900,2017-09-05 19:01:00+00:00,487030.0,487030.0,487030.0,487030.0,487131.0
6901,2017-09-05 19:02:00+00:00,487030.0,487030.0,487030.0,487030.0,487131.0
6902,2017-09-05 19:03:00+00:00,487030.0,487030.0,487030.0,487030.0,487131.0
6903,2017-09-05 19:04:00+00:00,487030.0,487030.0,487030.0,487030.0,487131.0
6904,2017-09-05 19:05:00+00:00,487030.0,487030.0,487030.0,487030.0,487131.0
6905,2017-09-05 19:06:00+00:00,487030.0,487030.0,487030.0,487030.0,487131.0
6906,2017-09-05 19:07:00+00:00,487030.0,487030.0,487030.0,487030.0,487131.0
6907,2017-09-05 19:08:00+00:00,487030.0,487030.0,487030.0,486100.0,487131.0
6908,2017-09-05 19:09:00+00:00,487030.0,487030.0,487030.0,486100.0,487131.0
6909,2017-09-05 19:10:00+00:00,487030.0,487030.0,487030.0,486100.0,487131.0
6910,2017-09-05 19:11:00+00:00,487030.0,487030.0,487030.0,487418.0,487418.0
6911,2017-09-05 19:12:00+00:00,487030.0,487030.0,487030.0,487417.0,487417.0
6912,2017-09-05 19:13:00+00:00,487999.0,487999.0,487999.0,487960.0,487999.0
6913,2017-09-05 19:14:00+00:00,488000.0,488000.0,488000.0,488220.0,488863.0
6914,2017-09-05 19:15:00+00:00,488888.0,488888.0,488888.0,488224.0,488888.0
6915,2017-09-05 19:16:00+00:00,488887.0,488887.0,488887.0,488726.0,488887.0
6916,2017-09-05 19:17:00+00:00,488740.0,488740.0,488740.0,488740.0,488780.0
6917,2017-09-05 19:18:00+00:00,488888.0,488888.0,488888.0,488734.0,488888.0
6918,2017-09-05 19:19:00+00:00,488789.0,488789.0,488789.0,488795.0,488839.0
6919,2017-09-05 19:20:00+00:00,487761.0,487761.0,487761.0,487649.0,487753.0
6920,2017-09-05 19:21:00+00:00,488000.0,488000.0,488000.0,487664.0,487997.0
6921,2017-09-05 19:22:00+00:00,487601.0,487601.0,487601.0,487603.0,487955.0
6922,2017-09-05 19:23:00+00:00,488887.0,488887.0,488887.0,488031.0,488886.0
